,性別,父牛,母の父,母の祖父,母の祖祖父,日令,体重,価格,年月日
35,去勢,夏百合,安福久,平茂勝,安平,289,285,799700,2022-04-07
36,雌,夏百合,幸紀雄,安福久,勝忠平,285,221,575300,2022-04-07
37,去勢,夏百合,勝忠平,第１花国,紋次郎,268,390,919600,2022-04-07
38,雌,夏百合,美国桜,安福久,忠富士,296,321,771100,2022-04-07
39,去勢,夏百合,福増,百合勝安,福栄,269,277,654500,2022-04-07
40,去勢,花勝国,金幸,平茂勝,北国７の３,299,268,548900,2022-04-07
41,雌,華忠良,百合茂,金幸,神高福,295,355,688600,2022-04-07
42,雌,関平照,秀幸福,華春福,勝忠平,275,273,716100,2022-04-07
43,雌,関平照,直太郎,安福久,平茂勝,284,312,693000,2022-04-07
44,去勢,喜亀忠,若百合,安福久,勝忠平,325,272,636900,2022-04-07
45,去勢,紀多福,安福久,安糸福,平茂勝,293,312,889900,2022-04-07
46,雌,紀多福,安福久,金幸,平茂勝,298,367,739200,2022-04-07
47,去勢,紀多福,安福久,勝忠平,安平,296,390,1090100,2022-04-07
48,雌,紀多福,安福久,勝忠平,第１花国,285,314,715000,2022-04-07
49,雌,紀多福,安福久,勝忠平,平茂勝,301,330,712800,2022-04-07
50,雌,紀多福,安福久,忠富士,安平,280,290,897600,2022-04-07
51,雌,紀多福,安福久,忠富士,福桜（宮）,307,305,718300,2022-04-07
52,雌,紀多福,安福久,百合茂,安平,307,365,738100,2022-04-07
53,去勢,紀多福,安福久,百合茂,紋次郎,284,389,1082400,2022-04-07
54,雌,紀多福,安福久,平茂勝,安平,295,250,526900,2022-04-07
55,去勢,紀多福,安福久,平茂勝,糸秀,272,365,1078000,2022-04-07
56,雌,紀多福,安福久,平茂勝,北国７の８,279,281,704000,2022-04-07
57,去勢,紀多福,安福久,平茂勝,北国７の８,268,311,865700,2022-04-07
58,去勢,紀多福,安福久,平茂勝,北国７の８,267,321,975700,2022-04-07
59,去勢,紀多福,安福久,平茂勝,紋次郎,298,358,1049400,2022-04-07
60,雌,紀多福,安福久,平茂晴,安糸福,273,270,715000,2022-04-07
61,去勢,紀多福,安福久,平茂晴,安平,274,312,986700,2022-04-07
62,去勢,紀多福,安福久,紋次郎,糸福（大）,286,337,888800,2022-04-07
63,去勢,紀多福,花美千,安福久,百合茂,269,320,874500,2022-04-07
64,雌,紀多福,華春福,安福久,平茂勝,273,244,663300,2022-04-07
65,雌,紀多福,華春福,百合茂,安福久,295,417,757900,2022-04-07
66,雌,紀多福,喜亀忠,安福久,百合茂,260,264,650100,2022-04-07
67,雌,紀多福,喜亀忠,安福久,平茂勝,280,296,716100,2022-04-07
68,去勢,紀多福,菊福秀,勝忠平,北国７の８,281,354,851400,2022-04-07
69,去勢,紀多福,菊福秀,福桜（宮）,安平,301,356,654500,2022-04-07
70,雌,紀多福,幸紀雄,華春福,安福久,302,319,700700,2022-04-07
71,去勢,紀多福,耕富士,安福久,平茂勝,274,308,886600,2022-04-07
72,雌,紀多福,勝忠平,安福久,平茂勝,303,321,738100,2022-04-07
73,去勢,紀多福,勝忠平,安平,糸秀,264,375,832700,2022-04-07
74,雌,紀多福,勝忠平,第１花国,平茂勝,310,308,690800,2022-04-07
75,去勢,紀多福,上茂福,安平,糸秀,305,325,786500,2022-04-07
76,去勢,紀多福,第２勝王,安福久,百合茂,301,317,816200,2022-04-07
77,雌,紀多福,忠富士,福桜（宮）,安平,292,291,678700,2022-04-07
78,雌,紀多福,徳悠翔,安福久,平茂勝,292,312,723800,2022-04-07
79,去勢,紀多福,美国桜,安福久,百合茂,259,342,124300,2022-04-07
80,雌,紀多福,美国桜,安福久,平茂勝,303,218,304700,2022-04-07
81,雌,紀多福,美国桜,安福久,平茂勝,289,289,759000,2022-04-07
82,雌,紀多福,美国桜,華春福,勝忠平,295,336,737000,2022-04-07
83,去勢,紀多福,美国桜,幸紀雄,安福１６５の９,276,313,889900,2022-04-07
84,去勢,紀多福,美国桜,勝忠平,安平,286,242,539000,2022-04-07
85,去勢,紀多福,美国桜,勝忠平,安平,281,242,645700,2022-04-07
86,去勢,紀多福,美国桜,勝忠平,安平,286,254,719400,2022-04-07
87,去勢,紀多福,美国桜,百合茂,安福久,287,350,885500,2022-04-07
88,雌,紀多福,美津照重,安茂勝,安平照,286,282,705100,2022-04-07
89,雌,紀多福,美津照重,金幸,平茂勝,271,284,657800,2022-04-07
90,去勢,紀多福,美津照重,寿恵福,平茂勝,266,332,790900,2022-04-07
91,去勢,紀多福,平茂幸,美津照,平茂勝,308,323,776600,2022-04-07
92,雌,紀多福,平茂勝,北国７の８,安平,309,278,585200,2022-04-07
93,去勢,紀多福,隆之国,勝忠平,安平照,265,364,777700,2022-04-07
94,去勢,貴隼桜,百合茂,寿恵福,安平,328,250,544500,2022-04-07
95,去勢,貴隼桜,茂晴花,安茂勝,安平照,302,362,855800,2022-04-07
96,雌,菊花国,安福久,平茂勝,福桜（宮）,291,290,663300,2022-04-07
97,雌,金太郎３,安福久,勝忠平,金幸,288,306,739200,2022-04-07
98,去勢,金太郎３,安福久,平茂勝,康福３,298,295,666600,2022-04-07
99,去勢,金太郎３,安福久,平茂勝,北国７の８,279,326,888800,2022-04-07
100,雌,好平茂,平茂晴,平茂勝,北国７の８,297,355,726000,2022-04-07
101,雌,幸紀雄,安福久,安平,平茂勝,275,301,733700,2022-04-07
102,雌,幸紀雄,安福久,金幸,北国７の８,265,233,613800,2022-04-07
103,去勢,幸紀雄,安福久,勝忠平,安平,302,325,927300,2022-04-07
104,雌,幸紀雄,安福久,第１花国,安平,289,261,675400,2022-04-07
105,去勢,幸紀雄,安福久,第１花国,平茂勝,271,274,810700,2022-04-07
106,去勢,幸紀雄,安福久,平茂勝,安福１６５の９,287,320,895400,2022-04-07
107,去勢,幸紀雄,安福久,平茂晴,平茂勝,298,302,916300,2022-04-07
108,去勢,幸紀雄,安茂勝,平茂勝,紋次郎,279,343,814000,2022-04-07
109,去勢,幸紀雄,華春福,安福久,忠富士,294,390,1071400,2022-04-07
110,雌,幸紀雄,華春福,安福久,平茂勝,291,313,772200,2022-04-07
111,雌,幸紀雄,勝忠平,安福久,金幸,289,268,720500,2022-04-07
112,雌,幸紀雄,美国桜,安福久,勝忠平,307,246,647900,2022-04-07
113,去勢,幸紀雄,美国桜,安福久,第１花国,299,313,913000,2022-04-07
114,去勢,幸紀雄,美国桜,安福久,忠富士,291,335,1015300,2022-04-07
115,去勢,幸紀雄,美国桜,安福久,百合茂,295,346,1046100,2022-04-07
116,雌,幸紀雄,美国桜,安福久,福之国,305,254,609400,2022-04-07
117,去勢,幸紀雄,美国桜,安福久,平茂勝,290,277,708400,2022-04-07
118,雌,幸紀雄,美国桜,勝忠平,安福久,280,311,673200,2022-04-07
119,雌,幸紀雄,美国桜,勝平正,福桜（宮）,284,276,660000,2022-04-07
120,雌,幸紀雄,美国桜,勝平正,福桜（宮）,284,281,680900,2022-04-07
121,去勢,幸紀雄,美国桜,百合茂,安平,279,318,935000,2022-04-07
122,去勢,幸紀雄,美津照重,平茂勝,但馬福,315,378,840400,2022-04-07
123,去勢,幸紀雄,百合久,安福久,安平照,267,354,1013100,2022-04-07
124,雌,幸紀雄,福之姫,安福久,金幸,293,243,613800,2022-04-07
125,雌,幸紀雄,福之姫,安福久,勝忠平,285,352,788700,2022-04-07
126,雌,幸紀雄,福之姫,若百合,平茂勝,287,290,728200,2022-04-07
127,雌,幸紀雄,福之姫,北平安,北国７の８,297,255,645700,2022-04-07
128,去勢,幸紀雄,隆之国,安福久,平茂勝,280,352,860200,2022-04-07
129,雌,幸紀雄,隆之国,安福久,平茂晴,290,270,678700,2022-04-07
130,去勢,幸紀雄,隆之国,百合茂,安福久,298,289,661100,2022-04-07
131,雌,実有貴,勝忠平,安平,糸福（大）,295,304,658900,2022-04-07
132,雌,実有貴,福栄,糸福（大）,八重福,286,295,640200,2022-04-07
133,去勢,実有貴,隆之国,安福久,百合茂,300,253,682000,2022-04-07
134,去勢,実有貴,諒太郎,百合茂,第１花国,256,300,770000,2022-04-07
135,雌,若百合,安福久,華春福,勝忠平,296,314,721600,2022-04-07
136,雌,若百合,安福久,金幸,平茂勝,277,277,728200,2022-04-07
137,去勢,若百合,安福久,金幸福,神高福,279,304,929500,2022-04-07
138,去勢,若百合,安福久,勝忠平,安福１６５の９,283,293,850300,2022-04-07
139,雌,若百合,安福久,勝忠平,安平,299,288,704000,2022-04-07
140,雌,若百合,安福久,勝忠平,安平,297,306,718300,2022-04-07
141,去勢,若百合,安福久,勝忠平,福桜（宮）,270,292,947100,2022-04-07
142,雌,若百合,安福久,勝忠平,平茂勝,281,226,440000,2022-04-07
143,去勢,若百合,安福久,勝忠平,平茂勝,286,353,1068100,2022-04-07
144,雌,若百合,安福久,忠富士,安平,286,311,750200,2022-04-07
145,去勢,若百合,安福久,忠富士,安平,285,315,933900,2022-04-07
146,去勢,若百合,安福久,忠富士,上福,284,273,709500,2022-04-07
147,去勢,若百合,安福久,忠富士,隆桜,276,340,1036200,2022-04-07
148,雌,若百合,安福久,平茂勝,第２０平茂,282,255,660000,2022-04-07
149,去勢,若百合,安福久,平茂晴,安福１６５の９,286,315,885500,2022-04-07
150,去勢,若百合,安福久,北国７の８,安福１６５の９,271,296,896500,2022-04-07
151,雌,若百合,安福久,隆之国,勝忠平,283,282,739200,2022-04-07
152,去勢,若百合,安平照,平茂勝,福桜（宮）,281,300,632500,2022-04-07
153,雌,若百合,華春福,安福久,金幸,279,273,680900,2022-04-07
154,雌,若百合,華春福,安福久,百合茂,279,328,735900,2022-04-07
155,雌,若百合,華春福,勝忠平,千代桜,283,271,603900,2022-04-07
156,雌,若百合,華春福,百合茂,平茂勝,299,340,682000,2022-04-07
157,去勢,若百合,菊花国,美津照重,平茂晴,272,337,822800,2022-04-07
158,去勢,若百合,菊花国,福栄,東平茂,289,278,748000,2022-04-07
159,雌,若百合,好平茂,勝忠平,安福久,295,290,676500,2022-04-07
160,去勢,若百合,幸紀雄,喜亀忠,安福久,289,292,797500,2022-04-07
161,雌,若百合,幸紀雄,美国桜,安糸福,274,288,719400,2022-04-07
162,雌,若百合,勝忠平,安福久,平茂勝,271,266,672100,2022-04-07
163,去勢,若百合,勝忠平,安平,隆桜,298,268,713900,2022-04-07
164,去勢,若百合,勝忠平,安平,隆桜,277,330,797500,2022-04-07
165,去勢,若百合,勝忠平,平茂晴,百合茂,260,315,886600,2022-04-07
166,去勢,若百合,美国桜,安福久,平茂勝,277,304,1007600,2022-04-07
167,去勢,若百合,美国桜,金太郎３,安福久,262,324,1036200,2022-04-07
168,去勢,若百合,美国桜,百合茂,第１花国,287,317,906400,2022-04-07
169,雌,若百合,美国桜,茂久桜,平茂勝,288,334,726000,2022-04-07
170,雌,若百合,美津照重,安福久,勝忠平,261,238,509300,2022-04-07
171,雌,若百合,美津照重,安福久,勝忠平,280,240,666600,2022-04-07
172,雌,若百合,美津照重,勝忠平,安平,304,343,748000,2022-04-07
173,雌,若百合,美津照重,勝忠平,平茂勝,289,271,680900,2022-04-07
174,去勢,若百合,美津照重,平茂晴,平茂勝,293,303,843700,2022-04-07
175,去勢,若百合,美津照重,隆之国,白清８５の３,283,311,801900,2022-04-07
176,去勢,若百合,百合茂,寿恵福,平茂勝,274,349,781000,2022-04-07
177,去勢,若百合,福之国,平茂勝,安平,293,356,825000,2022-04-07
178,去勢,若百合,福之姫,安福久,忠富士,267,292,917400,2022-04-07
179,雌,若百合,福之姫,金照,安福久,303,285,723800,2022-04-07
180,去勢,若百合,福之姫,耕富士,福桜（宮）,285,284,806300,2022-04-07
181,雌,若百合,福之姫,平茂勝,安平,271,269,684200,2022-04-07
182,去勢,若百合,平茂晴,安福１６５の９,隆桜,257,314,854700,2022-04-07
183,雌,若百合,隆之国,忠富士,福桜（宮）,262,335,735900,2022-04-07
184,去勢,若百合,隆之国,百合茂,安福１６５の９,260,311,833800,2022-04-07
185,雌,若百合,諒太郎,安福久,百合茂,278,284,727100,2022-04-07
186,雌,秀幸福,安糸福,平茂勝,神高福,277,347,704000,2022-04-07
187,去勢,秀幸福,美国桜,百合茂,平茂勝,274,340,922900,2022-04-07
188,去勢,秀幸福,百合茂,安平,福茂,290,351,803000,2022-04-07
189,雌,秋忠平,安福久,安茂勝,寿高,284,280,720500,2022-04-07
190,去勢,秋忠平,安福久,金幸,安平,284,370,1082400,2022-04-07
191,雌,秋忠平,安福久,勝忠平,北国７の８,307,170,196900,2022-04-07
192,雌,秋忠平,安福久,忠富士,安平,283,321,728200,2022-04-07
193,雌,秋忠平,安福久,平茂勝,紋次郎,268,245,624800,2022-04-07
194,雌,秋忠平,幸紀雄,安福久,忠富士,292,296,729300,2022-04-07
195,雌,秋忠平,第１花国,平茂勝,安平,284,261,460900,2022-04-07
196,去勢,秋忠平,第５隼福,第２０平茂,安平,301,220,414700,2022-04-07
197,雌,秋忠平,忠富士,安福久,平茂勝,268,265,697400,2022-04-07
198,雌,秋忠平,白清８５の３,安福久,平茂勝,290,281,757900,2022-04-07
199,雌,秋忠平,美国桜,忠富士,安平,273,362,902000,2022-04-07
200,雌,秋忠平,美津照重,安茂勝,金幸,298,330,733700,2022-04-07
201,雌,秋忠平,美津照重,百合茂,寿恵福,277,298,664400,2022-04-07
202,去勢,秋忠平,美穂国,忠富士,安平,291,332,773300,2022-04-07
203,去勢,秋忠平,百合白清２,安福久,平茂勝,287,313,836000,2022-04-07
204,雌,秋忠平,百合茂,安福久,勝忠平,265,281,701800,2022-04-07
205,去勢,秋忠平,百合茂,安平,隆美,292,325,783200,2022-04-07
206,雌,秋忠平,百合茂,美津福,糸福（大）,267,313,583000,2022-04-07
207,去勢,秋忠平,芳之国,百合茂,茂勝,303,365,817300,2022-04-07
208,去勢,秋忠平,隆之国,安福久,百合茂,281,322,1005400,2022-04-07
209,雌,勝三宝,諒太郎,福桜（宮）,安平,284,312,716100,2022-04-07
210,雌,勝早桜５,安福久,平茂勝,安福（岐）,282,251,628100,2022-04-07
211,去勢,勝早桜５,美国桜,秀菊安,忠富士,283,333,1017500,2022-04-07
212,去勢,勝早桜５,満天白清,美穂国,勝平正,285,341,826100,2022-04-07
213,雌,勝忠平,安福久,金幸,北国７の８,268,261,682000,2022-04-07
214,雌,勝忠平,安福久,百合茂,安平,299,320,1038400,2022-04-07
215,雌,勝忠平,安福久,百合茂,美津福,276,295,827200,2022-04-07
216,雌,勝忠平,安福久,平茂勝,糸福（大）,297,302,715000,2022-04-07
217,雌,勝美糸,桜花久,勝忠平,平茂勝,303,304,647900,2022-04-07
218,去勢,勝美糸,美国桜,隆之国,勝忠平,284,315,779900,2022-04-07
219,去勢,勝美糸,福之姫,勝忠平,美津福,290,297,676500,2022-04-07
220,雌,勝美利,秀菊安,日向国,平茂勝,269,252,532400,2022-04-07
221,去勢,神照栄,美穂国,北茂桜,安平,262,239,511500,2022-04-07
222,雌,大藤領,安平,隆美,第２０平茂,260,227,468600,2022-04-07
223,去勢,知恵久,金太郎３,安福久,平茂晴,315,242,556600,2022-04-07
224,雌,知恵久,勝忠平,福栄,糸福（大）,286,257,568700,2022-04-07
225,去勢,知恵久,美国桜,金太郎３,安福久,272,266,705100,2022-04-07
226,雌,知恵久,諒太郎,百合茂,安福１６５の９,320,216,421300,2022-04-07
227,去勢,直太郎,安福久,金幸,平茂勝,304,325,924000,2022-04-07
228,雌,直太郎,安福久,忠富士,安平,306,357,651200,2022-04-07
229,去勢,直太郎,光照福,糸梅,糸福（大）,266,357,770000,2022-04-07
230,雌,直太郎,平茂勝,紋次郎,安平,299,245,496100,2022-04-07
231,雌,直太郎,北平安,茂勝栄,安平照,305,369,713900,2022-04-07
232,雌,白鵬８５の３,金幸,平茂勝,忠福,257,228,745800,2022-04-07
233,雌,白鵬紅葉,百合白清２,金照,平茂晴,276,305,773300,2022-04-07
234,去勢,美国桜,安福久,金幸,忠福,283,273,708400,2022-04-07
235,去勢,美国桜,安福久,金幸,平茂勝,262,276,687500,2022-04-07
236,去勢,美国桜,安福久,百合茂,勝忠平,287,255,753500,2022-04-07
237,去勢,美国桜,安福久,福桜（宮）,安平,305,302,724900,2022-04-07
238,去勢,美国桜,華春福,百合白清２,安福久,287,324,861300,2022-04-07
239,雌,美国桜,華春福,百合茂,安福久,293,276,840400,2022-04-07
240,去勢,美国桜,喜亀忠,安福久,勝忠平,280,279,809600,2022-04-07
241,雌,美国桜,金太郎３,安福久,平茂勝,298,286,704000,2022-04-07
242,去勢,美国桜,金太郎３,安福久,隆之国,289,298,720500,2022-04-07
243,去勢,美国桜,幸紀雄,安福久,寿恵福,303,266,606100,2022-04-07
244,去勢,美国桜,幸紀雄,安福久,百合茂,289,335,928400,2022-04-07
245,雌,美国桜,幸紀雄,美津照重,勝忠平,282,269,694100,2022-04-07
246,雌,美国桜,耕富士,安福久,勝忠平,293,266,770000,2022-04-07
247,雌,美国桜,若百合,安福久,勝忠平,312,270,690800,2022-04-07
248,雌,美国桜,秋忠平,安茂勝,紋次郎,285,284,682000,2022-04-07
249,雌,美国桜,勝忠平,安福久,第１花国,306,291,806300,2022-04-07
250,去勢,美国桜,勝忠平,安福久,百合茂,282,194,437800,2022-04-07
251,去勢,美国桜,勝忠平,安福久,百合茂,303,373,1046100,2022-04-07
252,去勢,美国桜,勝忠平,安福久,平茂勝,295,321,861300,2022-04-07
253,去勢,美国桜,勝忠平,安福久,平茂勝,307,316,875600,2022-04-07
254,去勢,美国桜,勝忠平,安福久,平茂勝,290,329,878900,2022-04-07
255,去勢,美国桜,勝忠平,第１花国,安平,275,331,768900,2022-04-07
256,雌,美国桜,忠富士,上福,隆桜,280,299,688600,2022-04-07
257,雌,美国桜,白鵬８５の３,隆之国,美津福,282,251,716100,2022-04-07
258,去勢,美国桜,美津照重,安福久,勝忠平,312,330,455400,2022-04-07
259,去勢,美国桜,百合白清２,安福久,平茂勝,283,329,917400,2022-04-07
260,去勢,美国桜,百合白清２,安福久,平茂晴,304,357,817300,2022-04-07
261,去勢,美国桜,百合白清２,華春福,安福久,284,318,854700,2022-04-07
262,去勢,美国桜,百合白清２,華春福,安福久,267,324,864600,2022-04-07
263,去勢,美国桜,百合白清２,勝忠平,安福久,307,368,976800,2022-04-07
264,去勢,美国桜,百合茂,安福１６５の９,平茂勝,313,224,542300,2022-04-07
265,去勢,美国桜,百合茂,安福久,金幸,292,300,766700,2022-04-07
266,去勢,美国桜,百合茂,安福久,平茂勝,304,331,766700,2022-04-07
267,去勢,美国桜,百合茂,安福久,平茂勝,294,297,826100,2022-04-07
268,去勢,美国桜,百合茂,安福久,平茂勝,281,324,994400,2022-04-07
269,去勢,美国桜,百合茂,安福久,平茂勝,306,360,1025200,2022-04-07
270,去勢,美国桜,福之姫,安福久,百合茂,301,321,889900,2022-04-07
271,雌,美国桜,福之姫,勝白,宮島,289,312,781000,2022-04-07
272,去勢,美国白清,若百合,隆之国,美国桜,291,243,653400,2022-04-07
273,去勢,美国白清,福之姫,美津照重,安福久,288,265,677600,2022-04-07
274,去勢,美国白清,福之姫,百合茂,安福久,286,285,694100,2022-04-07
275,雌,美国白清,芳之国,平茂幸,安平,238,242,562100,2022-04-07
276,去勢,美国白清,茂勝栄,平茂勝,但馬福,270,223,503800,2022-04-07
277,去勢,美国白清,隆之国,華春福,安福久,272,252,712800,2022-04-07
278,去勢,美津金幸,安亀忠,百合茂,安福久,300,327,851400,2022-04-07
279,雌,美津金幸,華春福,安福久,神徳福,294,335,795300,2022-04-07
280,雌,美津照重,安亀忠,百合白清２,勝忠平,296,229,543400,2022-04-07
281,去勢,美津照重,安福久,安平照,菊谷,297,274,662200,2022-04-07
282,去勢,美津照重,安福久,勝忠平,安平,303,270,724900,2022-04-07
283,雌,美津照重,安福久,勝忠平,北国７の８,299,278,708400,2022-04-07
284,雌,美津照重,安茂勝,安平,第２０平茂,302,267,613800,2022-04-07
285,雌,美津照重,金幸,安平,平茂勝,293,258,504900,2022-04-07
286,去勢,美津照重,金太郎３,平茂晴,百合茂,286,278,656700,2022-04-07
287,雌,美津照重,耕富士,美穂国,日向国,299,275,644600,2022-04-07
288,雌,美津照重,勝忠平,安福久,平茂勝,294,286,701800,2022-04-07
289,雌,美津照重,勝忠平,寿恵福,糸梅,301,288,663300,2022-04-07
290,去勢,美津照重,美国桜,百合茂,安福久,271,349,1048300,2022-04-07
291,雌,美津照重,美国桜,諒太郎,隆之国,254,230,609400,2022-04-07
292,去勢,美津照重,百合白清２,安福久,安平照,293,280,782100,2022-04-07
293,去勢,美津照重,百合茂,安福久,勝忠平,317,319,852500,2022-04-07
294,雌,美津照重,百合茂,安福久,平茂勝,275,261,682000,2022-04-07
295,雌,美津照重,福華１,安福久,百合茂,293,240,609400,2022-04-07
296,雌,美津照重,福之姫,安茂勝,福谷福,297,284,715000,2022-04-07
297,雌,美津照重,平茂勝,安平,隆美,299,279,627000,2022-04-07
298,雌,美津照重,平茂晴,安福久,平茂勝,290,293,729300,2022-04-07
299,去勢,美津照重,隆之国,安福久,平茂勝,294,320,896500,2022-04-07
300,去勢,美津照重,隆之国,勝忠平,隆桜,287,287,775500,2022-04-07
301,去勢,美津照重,隆之国,百合茂,安福久,273,315,878900,2022-04-07
302,去勢,美津照重,隆之国,百合茂,安福久,296,347,894300,2022-04-07
303,去勢,美津照重,隆之国,茂重安福（岐）,勝忠平,283,266,588500,2022-04-07
304,雌,美津忠,秀幸福,華春福,勝忠平,291,280,642400,2022-04-07
305,去勢,美津百合,華春久,平茂幸,百合茂,295,292,688600,2022-04-07
306,去勢,美津百合,百合茂,安福１６５の９,平茂勝,288,335,823900,2022-04-07
307,去勢,美津百合,福之姫,安茂勝,福栄,270,280,773300,2022-04-07
308,去勢,美津福重,安福久,平茂勝,福栄,268,257,740300,2022-04-07
309,去勢,美津福重,光平照,平茂勝,北国７の８,301,312,770000,2022-04-07
310,雌,美津福重,直太郎,福之国,福桜（宮）,299,313,691900,2022-04-07
311,雌,美津福重,百合茂,福之国,福桜（宮）,285,270,655600,2022-04-07
312,雌,美津福重,隆之国,安平,福桜（宮）,286,312,686400,2022-04-07
313,去勢,美津洋,勝乃幸,本富士,福之国,255,264,627000,2022-04-07
314,雌,百合久,耕富士,福桜（宮）,安平,275,298,689700,2022-04-07
315,去勢,百合久,美国桜,忠富士,糸北国,270,342,1009800,2022-04-07
316,去勢,百合久,諒太郎,晴茂平,安平,300,375,810700,2022-04-07
317,雌,百合勝安,安福久,平茂勝,糸福（大）,308,301,687500,2022-04-07
318,去勢,百合勝安,安福勝,安重福,飛騨白清,283,360,785400,2022-04-07
319,雌,百合勝安,直太郎,百合茂,安福久,294,295,679800,2022-04-07
320,去勢,百合勝安,福桜（宮）,福茂,紋次郎,275,345,719400,2022-04-07
321,去勢,百合勝安,平茂晴,平茂勝,安福１６５の９,304,355,770000,2022-04-07
322,去勢,百合勝安,北平安,安平照,美津福,286,328,731500,2022-04-07
323,雌,百合勝安,諒太郎,安福久,平茂勝,299,261,665500,2022-04-07
324,去勢,百合白清２,安福久,金幸,北国７の８,267,248,807400,2022-04-07
325,去勢,百合白清２,安福久,勝忠平,美津福,283,312,943800,2022-04-07
326,雌,百合白清２,安福久,第１花国,百合茂,296,332,902000,2022-04-07
327,去勢,百合白清２,安福久,第１花国,平茂勝,291,384,1091200,2022-04-07
328,去勢,百合白清２,安福久,北国７の８,平茂勝,261,330,887700,2022-04-07
329,雌,百合白清２,美国桜,安福久,北国７の８,291,295,881100,2022-04-07
330,去勢,百合白清２,福之姫,美津照重,安福久,295,317,862400,2022-04-07
331,去勢,百合白清２,茂洋,安福久,平茂勝,259,322,1026300,2022-04-07
332,去勢,百合福久,百合白清２,飛騨白清,福之国,277,314,844800,2022-04-07
333,去勢,百合未来,華春福,安福久,勝忠平,291,410,980100,2022-04-07
334,去勢,百合未来,忠富士,茂洋,平茂勝,263,291,715000,2022-04-07
335,去勢,百合未来,直太郎,安福久,平茂勝,307,292,878900,2022-04-07
336,雌,百合未来,白清８５の３,飛騨白真弓,安福（岐）,295,305,759000,2022-04-07
337,去勢,百合未来,美津照重,安福久,第１花国,253,235,557700,2022-04-07
338,去勢,百合未来,北平安,平茂晴,平茂勝,309,352,803000,2022-04-07
339,雌,百合未来,隆之国,白清８５の３,平茂勝,298,276,767800,2022-04-07
340,去勢,百合茂,安福久,金幸,但馬福,307,338,961400,2022-04-07
341,去勢,百合茂,安福久,平茂勝,安平,286,312,926200,2022-04-07
342,去勢,百合茂,安福久,平茂勝,安平,283,351,991100,2022-04-07
343,去勢,百合茂,白鵬８５の３,北国７の８,安平,299,291,707300,2022-04-07
344,雌,舞菊福,安茂勝,第２宝勝,紋次郎,289,343,716100,2022-04-07
345,去勢,福華１,福栄,平茂勝,紋次郎,303,326,741400,2022-04-07
346,去勢,福増,安福久,平茂晴,百合茂,294,260,690800,2022-04-07
